1,Come Together,Abbey Road,The Beatles,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,https://p.scdn.co/mp3-preview/83090a4db6899eaca689ae35f69126dbe65d94c9?cid=664aaf9b8611444ba447fd77e2faa0fc
2,Thriller,Thriller,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,https://p.scdn.co/mp3-preview/dd0621b7f11364a37c96031dbedbca6b88dbfa7d?cid=664aaf9b8611444ba447fd77e2faa0fc
3,Purple Rain,Purple Rain,Prince,https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b,https://p.scdn.co/mp3-preview/2fe008411edea4f21355301daa8993663eaf46f8?cid=664aaf9b8611444ba447fd77e2faa0fc
4,Time,The Dark Side of the Moon,Pink Floyd,https://i.scdn.co/image/ab67616d0000b273f05e5ac32fdd79d100315a20,https://p.scdn.co/mp3-preview/83c1f92586bfa2a326b3c7c69aeb9321007f5055?cid=664aaf9b8611444ba447fd77e2faa0fc
5,21st Century Schizoid Man,In The Court Of The Crimson King,King Crimson,https://i.scdn.co/image/ab67616d0000b2739f2179592d196f575b7a0ff5,https://p.scdn.co/mp3-preview/48f234e380cdb76948c79597a83d5e9b18990d89?cid=664aaf9b8611444ba447fd77e2faa0fc
6,Move Over,Pearl,Janis Joplin,https://i.scdn.co/image/ab67616d0000b2736f8c26346723dd0531696bed,https://p.scdn.co/mp3-preview/6798717b6f134a21f226ababa7f4d4262a62c186?cid=664aaf9b8611444ba447fd77e2faa0fc
7,Purple Haze,Are You Experienced,Jimi Hendrix,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040,https://p.scdn.co/mp3-preview/03bc9eb9c20f832c8341a3db4173d7036d93156e?cid=664aaf9b8611444ba447fd77e2faa0fc
8,The End,The Doors,The Doors,https://i.scdn.co/image/ab67616d0000b273216c3cf785a209dcc4f3efdc,https://p.scdn.co/mp3-preview/d5cecd27e55a4a8164e1b5ea6e7089c5e5c343e1?cid=664aaf9b8611444ba447fd77e2faa0fc
9,Get Up Offa That Thing,Cold Sweat & Other Soul Classics,James Brown,https://i.scdn.co/image/ab67616d0000b27355de9995695e8aac0beb13cd,https://p.scdn.co/mp3-preview/558e19e95a24ca81e514871f0447d3b32255294d?cid=664aaf9b8611444ba447fd77e2faa0fc
10,Start Me Up,Tattoo You,The Rolling Stones,https://i.scdn.co/image/ab67616d0000b273a5622009b567794d9d4d4527,https://p.scdn.co/mp3-preview/57f49c26172fc3e1f15fd9498bad29193018150e?cid=664aaf9b8611444ba447fd77e2faa0fc
